model,group,series_id,smape,mase
ChronosBoltBase,m3_other,N2830,3.6226695566670495,1.7410485031003646
ChronosBoltBase,m3_other,N2831,5.656583900391711,0.7389065541561475
ChronosBoltBase,m3_other,N2832,34.07558673560808,0.5946740005686505
ChronosBoltBase,m3_other,N2833,8.152479269680688,0.6114096965387317
ChronosBoltBase,m3_other,N2834,1.33760010847109,2.3060577971848577
ChronosBoltBase,m3_other,N2835,1.974931091574195,2.1355039396180455
ChronosBoltBase,m3_other,N2836,0.3940551900028857,0.544200259340615
ChronosBoltBase,m3_other,N2837,2.50348153954893,5.005507948823029
ChronosBoltBase,m3_other,N2838,0.4952663326374144,0.893767214738508
ChronosBoltBase,m3_other,N2839,1.2788466705122201,2.394078373094866
ChronosBoltBase,m3_other,N2840,1.137444078016134,2.3638428585741575
ChronosBoltBase,m3_other,N2841,0.8937132864085818,2.5178594189536687
ChronosBoltBase,m3_other,N2842,2.207765290213608,4.2682221379997705
ChronosBoltBase,m3_other,N2843,0.7899399029887842,1.6617893394685317
ChronosBoltBase,m3_other,N2844,0.7199838658806431,1.9816471910405735
ChronosBoltBase,m3_other,N2845,0.401809055110643,0.9592549284974042
ChronosBoltBase,m3_other,N2846,0.9525640706539815,1.257829644024079
ChronosBoltBase,m3_other,N2847,3.0146937915585896,2.262060384545724
ChronosBoltBase,m3_other,N2848,2.4836881995181628,3.7565534810480705
ChronosBoltBase,m3_other,N2849,0.7426025316999483,0.8840882819677136
ChronosBoltBase,m3_other,N2850,1.9496395583815278,1.8999088826180475
ChronosBoltBase,m3_other,N2851,1.479210738793046,0.9368251113127594
ChronosBoltBase,m3_other,N2852,3.3346475570928584,1.9166874993844782
ChronosBoltBase,m3_other,N2853,1.9700433940062663,1.0130990631557124
ChronosBoltBase,m3_other,N2854,2.716527593278605,1.2051253208015127
ChronosBoltBase,m3_other,N2855,4.64333650904462,3.077725762976316
ChronosBoltBase,m3_other,N2856,4.347108143578464,2.5921463597034458
ChronosBoltBase,m3_other,N2857,1.5432123563425741,1.01804679318252
ChronosBoltBase,m3_other,N2858,2.9415132299460236,2.4833031743369864
ChronosBoltBase,m3_other,N2859,2.7534504435393963,2.025883461004837
ChronosBoltBase,m3_other,N2860,1.7330570980621811,1.3171227749431784
ChronosBoltBase,m3_other,N2861,2.22998676324735,1.6607766912233901
ChronosBoltBase,m3_other,N2862,1.744420741791172,1.7757669434883514
ChronosBoltBase,m3_other,N2863,15.205704780669983,2.447701747065378
ChronosBoltBase,m3_other,N2864,23.266596884404024,4.151194480172664
ChronosBoltBase,m3_other,N2865,7.444734261381741,0.7811119133699025
ChronosBoltBase,m3_other,N2866,17.63060208346795,4.270536876860119
ChronosBoltBase,m3_other,N2867,48.544404680899184,5.491424329002276
ChronosBoltBase,m3_other,N2868,23.310937432029306,3.74408238028661
ChronosBoltBase,m3_other,N2869,8.588014328002567,1.3488852386971177
ChronosBoltBase,m3_other,N2870,18.206578860237226,2.038547665035591
ChronosBoltBase,m3_other,N2871,9.691537024818576,1.5454755601381522
ChronosBoltBase,m3_other,N2872,21.811593841784287,2.8557403364269964
ChronosBoltBase,m3_other,N2873,11.673107702703419,1.8724899054808937
ChronosBoltBase,m3_other,N2874,11.695363354125545,1.8496821321399006
ChronosBoltBase,m3_other,N2875,24.33033536679162,1.848047114353554
ChronosBoltBase,m3_other,N2876,1.44255241950565,0.8573079993388325
ChronosBoltBase,m3_other,N2877,6.079551030486116,2.7447950753335544
ChronosBoltBase,m3_other,N2878,1.10538618354928,0.5876076400455742
ChronosBoltBase,m3_other,N2879,3.9552681307211373,1.7693386074167878
ChronosBoltBase,m3_other,N2880,2.2543930609463665,1.0253793759467507
ChronosBoltBase,m3_other,N2881,1.5787445387334764,0.6839750027583276
ChronosBoltBase,m3_other,N2882,1.6439136369918446,0.683060032884533
ChronosBoltBase,m3_other,N2883,3.5597458018205677,1.371919541476117
ChronosBoltBase,m3_other,N2884,2.597592534014723,1.5726771174526182
ChronosBoltBase,m3_other,N2885,0.5882509005116272,0.6215780441299282
ChronosBoltBase,m3_other,N2886,1.086068955515861,0.5553284732274246
ChronosBoltBase,m3_other,N2887,2.9520532692596806,2.4706394673797085
ChronosBoltBase,m3_other,N2888,5.941063161004701,3.1904969561363243
ChronosBoltBase,m3_other,N2889,2.5941311324851903,1.6245583337515612
ChronosBoltBase,m3_other,N2890,0.9526690751856481,0.3641245702923022
ChronosBoltBase,m3_other,N2891,0.3057044695420992,0.20168475749589265
ChronosBoltBase,m3_other,N2892,1.4312626394695966,1.3435811207706767
ChronosBoltBase,m3_other,N2893,6.208923281618582,4.079107918045893
ChronosBoltBase,m3_other,N2894,1.496649934769627,0.7515750047637195
ChronosBoltBase,m3_other,N2895,1.3987437925235573,1.066296764255799
ChronosBoltBase,m3_other,N2896,0.6805446993493355,0.5921824981260767
ChronosBoltBase,m3_other,N2897,0.6056072253671358,0.5820194392340984
ChronosBoltBase,m3_other,N2898,1.6343904057398728,1.5356425570670484
ChronosBoltBase,m3_other,N2899,6.896291332775709,2.929908375767834
ChronosBoltBase,m3_other,N2900,0.960097627812547,0.5552601242409406
ChronosBoltBase,m3_other,N2901,7.5450268616312,4.639577021284183
ChronosBoltBase,m3_other,N2902,1.1302324629651357,0.6417717249191718
ChronosBoltBase,m3_other,N2903,5.932322983741089,2.551929320827025
ChronosBoltBase,m3_other,N2904,7.021847416317292,4.691534207272111
ChronosBoltBase,m3_other,N2905,0.6888357305250798,0.45546361236058497
ChronosBoltBase,m3_other,N2906,1.0815372969932067,1.1714401245117188
ChronosBoltBase,m3_other,N2907,2.444071263501217,1.3110779151438499
ChronosBoltBase,m3_other,N2908,2.407921952423418,0.9074733189174107
ChronosBoltBase,m3_other,N2909,1.387140723374218,0.9338222977018704
ChronosBoltBase,m3_other,N2910,4.817903661226764,2.022263660326381
ChronosBoltBase,m3_other,N2911,4.4766364833011725,2.7074709001570523
ChronosBoltBase,m3_other,N2912,3.5431275995735745,2.2793084152606355
ChronosBoltBase,m3_other,N2913,2.0473138743644737,1.0189296570925936
ChronosBoltBase,m3_other,N2914,1.0969433957287644,0.7056622777935081
ChronosBoltBase,m3_other,N2915,6.075630908394191,3.8556135708016805
ChronosBoltBase,m3_other,N2916,3.5178528221869727,1.4607745171395343
ChronosBoltBase,m3_other,N2917,0.9976419759779804,0.8866524732331341
ChronosBoltBase,m3_other,N2918,0.7373792010570921,0.8340489992701259
ChronosBoltBase,m3_other,N2919,0.6038064698855513,0.6359923062259204
ChronosBoltBase,m3_other,N2920,1.3198173974830243,1.3493885168868505
